grade,semester,unit,word,phonetic,pos,meaning,difficulty,tags
8,下,Unit1,diet,/ˈdaɪət/,n.,饮食,2,名词
8,下,Unit1,nutrition,/njuˈtrɪʃn/,n.,营养,2,名词
8,下,Unit1,vitamin,/ˈvɪtəmɪn/,n.,维生素,2,名词
8,下,Unit1,protein,/ˈprəʊtiːn/,n.,蛋白质,2,名词
8,下,Unit1,active,/ˈæktɪv/,adj.,积极的；活跃的,2,形容词
8,下,Unit1,symptom,/ˈsɪmptəm/,n.,症状,2,名词
8,下,Unit1,treat,/triːt/,v.,治疗；对待,2,动词
8,下,Unit1,cure,/kjʊə(r)/,v./n.,治愈,2,动词
8,下,Unit1,recover,/rɪˈkʌvə(r)/,v.,康复,2,动词
8,下,Unit1,advice,/ədˈvaɪs/,n.,建议,1,名词
8,下,Unit1,warn,/wɔːn/,v.,警告,2,动词
8,下,Unit1,healthy,/ˈhelθi/,adj.,健康的,1,形容词
8,下,Unit1,weak,/wiːk/,adj.,虚弱的,2,形容词
8,下,Unit1,serious,/ˈsɪəriəs/,adj.,严重的；严肃的,2,形容词
8,下,Unit2,feeling,/ˈfiːlɪŋ/,n.,感觉；感情,1,名词
8,下,Unit2,emotion,/ɪˈməʊʃn/,n.,情绪,2,名词
8,下,Unit2,sad,/sæd/,adj.,难过的,1,形容词
8,下,Unit2,angry,/ˈæŋɡri/,adj.,生气的,1,形容词
8,下,Unit2,afraid,/əˈfreɪd/,adj.,害怕的,1,形容词
8,下,Unit2,nervous,/ˈnɜːvəs/,adj.,紧张的,2,形容词
8,下,Unit2,excited,/ɪkˈsaɪtɪd/,adj.,兴奋的,1,形容词
8,下,Unit2,surprised,/səˈpraɪzd/,adj.,惊讶的,2,形容词
8,下,Unit2,bored,/bɔːd/,adj.,无聊的,1,形容词
8,下,Unit2,lonely,/ˈləʊnli/,adj.,孤独的,2,形容词
8,下,Unit2,proud,/praʊd/,adj.,自豪的,2,形容词
8,下,Unit2,confident,/ˈkɒnfɪdənt/,adj.,自信的,2,形容词
8,下,Unit2,shy,/ʃaɪ/,adj.,害羞的,1,形容词
8,下,Unit2,brave,/breɪv/,adj.,勇敢的,1,形容词
8,下,Unit2,honest,/ˈɒnɪst/,adj.,诚实的,2,形容词
8,下,Unit2,patient,/ˈpeɪʃnt/,adj./n.,耐心的；病人,2,形容词
8,下,Unit2,understand,/ˌʌndəˈstænd/,v.,理解,1,动词
8,下,Unit2,communicate,/kəˈmjuːnɪkeɪt/,v.,交流,2,动词
8,下,Unit2,express,/ɪkˈspres/,v.,表达,2,动词
8,下,Unit2,encourage,/ɪnˈkʌrɪdʒ/,v.,鼓励,2,动词
8,下,Unit2,support,/səˈpɔːt/,v./n.,支持,2,动词
8,下,Unit2,respect,/rɪˈspekt/,v./n.,尊重,2,动词
8,下,Unit3,technology,/tekˈnɒlədʒi/,n.,技术；科技,2,名词
8,下,Unit3,internet,/ˈɪntənet/,n.,互联网,1,名词
8,下,Unit3,website,/ˈwebsaɪt/,n.,网站,1,名词
8,下,Unit3,download,/ˌdaʊnˈləʊd/,v.,下载,1,动词
8,下,Unit3,upload,/ˌʌpˈləʊd/,v.,上传,2,动词
8,下,Unit3,search,/sɜːtʃ/,v./n.,搜索,1,动词
8,下,Unit3,message,/ˈmesɪdʒ/,n.,消息；信息,1,名词
8,下,Unit3,screen,/skriːn/,n.,屏幕,1,名词
8,下,Unit3,keyboard,/ˈkiːbɔːd/,n.,键盘,2,名词
8,下,Unit3,digital,/ˈdɪdʒɪtl/,adj.,数字的,2,形容词
8,下,Unit3,media,/ˈmiːdiə/,n.,媒体,2,名词
8,下,Unit3,news,/njuːz/,n.,新闻,1,名词
8,下,Unit3,newspaper,/ˈnjuːzpeɪpə(r)/,n.,报纸,1,名词
8,下,Unit3,magazine,/ˌmæɡəˈziːn/,n.,杂志,1,名词
8,下,Unit3,radio,/ˈreɪdiəʊ/,n.,收音机；广播,1,名词
8,下,Unit3,television,/ˈtelɪvɪʒn/,n.,电视,1,名词
8,下,Unit3,photograph,/ˈfəʊtəɡrɑːf/,n.,照片,2,名词
8,下,Unit3,camera,/ˈkæmərə/,n.,照相机,1,名词
8,下,Unit3,record,/ˈrekɔːd/,v./n.,记录,1,动词
8,下,Unit3,publish,/ˈpʌblɪʃ/,v.,出版；发布,2,动词
8,下,Unit3,online,/ˌɒnˈlaɪn/,adj./adv.,在线的(地),1,形容词
8,下,Unit3,useful,/ˈjuːsfl/,adj.,有用的,1,形容词
8,下,Unit3,harmful,/ˈhɑːmfl/,adj.,有害的,2,形容词
9,上,Unit1,method,/ˈmeθəd/,n.,方法,2,名词
9,上,Unit1,strategy,/ˈstrætədʒi/,n.,策略,3,名词
9,上,Unit1,goal,/ɡəʊl/,n.,目标；球门,2,名词
9,上,Unit1,achieve,/əˈtʃiːv/,v.,实现；达到,2,动词
9,上,Unit1,succeed,/səkˈsiːd/,v.,成功,2,动词
9,上,Unit1,failure,/ˈfeɪljə(r)/,n.,失败,2,名词
9,上,Unit1,effort,/ˈefət/,n.,努力,2,名词
9,上,Unit1,progress,/ˈprəʊɡres/,n.,进步,2,名词
9,上,Unit1,challenge,/ˈtʃælɪndʒ/,n./v.,挑战,2,名词
9,上,Unit1,opportunity,/ˌɒpəˈtjuːnəti/,n.,机会,3,名词
9,上,Unit1,decision,/dɪˈsɪʒn/,n.,决定,2,名词
9,上,Unit1,choice,/tʃɔɪs/,n.,选择,2,名词
9,上,Unit1,suggest,/səˈdʒest/,v.,建议,2,动词
9,上,Unit1,recommend,/ˌrekəˈmend/,v.,推荐,3,动词
9,上,Unit1,require,/rɪˈkwaɪə(r)/,v.,要求,3,动词
9,上,Unit1,expect,/ɪkˈspekt/,v.,期望,2,动词
9,上,Unit1,realize,/ˈriːəlaɪz/,v.,意识到；实现,2,动词
9,上,Unit1,discover,/dɪˈskʌvə(r)/,v.,发现,2,动词
9,上,Unit1,invent,/ɪnˈvent/,v.,发明,2,动词
9,上,Unit1,create,/kriˈeɪt/,v.,创造,2,动词
9,上,Unit1,imagine,/ɪˈmædʒɪn/,v.,想象,2,动词
9,上,Unit1,solve,/sɒlv/,v.,解决,2,动词
9,上,Unit1,research,/rɪˈsɜːtʃ/,n./v.,研究,3,名词
9,上,Unit1,experiment,/ɪkˈsperɪmənt/,n.,实验,3,名词
9,上,Unit1,experience,/ɪkˈspɪəriəns/,n./v.,经验；经历,2,名词
9,上,Unit2,society,/səˈsaɪəti/,n.,社会,3,名词
9,上,Unit2,government,/ˈɡʌvənmənt/,n.,政府,3,名词
9,上,Unit2,law,/lɔː/,n.,法律,2,名词
9,上,Unit2,right,/raɪt/,n.,权利,2,名词
9,上,Unit2,duty,/ˈdjuːti/,n.,责任；义务,2,名词
9,上,Unit2,freedom,/ˈfriːdəm/,n.,自由,2,名词
9,上,Unit2,justice,/ˈdʒʌstɪs/,n.,正义；公正,3,名词
9,上,Unit2,citizen,/ˈsɪtɪzn/,n.,公民,3,名词
9,上,Unit2,community,/kəˈmjuːnəti/,n.,社区,2,名词
9,上,Unit2,volunteer,/ˌvɒlənˈtɪə(r)/,n./v.,志愿者；自愿做,2,名词
9,上,Unit2,charity,/ˈtʃærəti/,n.,慈善,2,名词
9,上,Unit2,donation,/dəʊˈneɪʃn/,n.,捐赠,3,名词
9,上,Unit2,poverty,/ˈpɒvəti/,n.,贫穷,3,名词
9,上,Unit2,wealth,/welθ/,n.,财富,2,名词
9,上,Unit2,education,/ˌedʒuˈkeɪʃn/,n.,教育,2,名词
9,上,Unit2,tradition,/trəˈdɪʃn/,n.,传统,2,名词
9,上,Unit2,ceremony,/ˈserəməni/,n.,典礼；仪式,3,名词
9,上,Unit2,symbol,/ˈsɪmbl/,n.,象征；符号,2,名词
9,上,Unit2,value,/ˈvæljuː/,n./v.,价值；重视,2,名词
9,上,Unit2,rule,/ruːl/,n.,规则,1,名词
9,上,Unit2,obey,/əˈbeɪ/,v.,遵守,2,动词
9,上,Unit2,allow,/əˈlaʊ/,v.,允许,2,动词
9,上,Unit2,punish,/ˈpʌnɪʃ/,v.,惩罚,2,动词
9,上,Unit2,praise,/preɪz/,v./n.,表扬,2,动词
9,上,Unit3,career,/kəˈrɪə(r)/,n.,职业；生涯,3,名词
9,上,Unit3,profession,/prəˈfeʃn/,n.,职业,3,名词
9,上,Unit3,ambition,/æmˈbɪʃn/,n.,雄心；志向,3,名词
9,上,Unit3,dream,/driːm/,n./v.,梦想,1,名词
9,上,Unit3,graduate,/ˈɡrædʒueɪt/,v.,毕业,2,动词
9,上,Unit3,university,/ˌjuːnɪˈvɜːsəti/,n.,大学,2,名词
9,上,Unit3,college,/ˈkɒlɪdʒ/,n.,学院,2,名词
9,上,Unit3,scholarship,/ˈskɒləʃɪp/,n.,奖学金,3,名词
9,上,Unit3,interview,/ˈɪntəvjuː/,n./v.,面试；采访,2,名词
9,上,Unit3,skill,/skɪl/,n.,技能,2,名词
9,上,Unit3,ability,/əˈbɪləti/,n.,能力,2,名词
9,上,Unit3,leader,/ˈliːdə(r)/,n.,领导者,2,名词
9,上,Unit3,teamwork,/ˈtiːmwɜːk/,n.,团队合作,2,名词
9,上,Unit3,cooperation,/kəʊˌɒpəˈreɪʃn/,n.,合作,3,名词
9,上,Unit3,responsibility,/rɪˌspɒnsəˈbɪləti/,n.,责任,3,名词
9,上,Unit3,courage,/ˈkʌrɪdʒ/,n.,勇气,2,名词
9,上,Unit3,wisdom,/ˈwɪzdəm/,n.,智慧,3,名词
9,上,Unit3,kindness,/ˈkaɪndnəs/,n.,善良,2,名词
9,上,Unit3,friendship,/ˈfrendʃɪp/,n.,友谊,1,名词
9,上,Unit3,memory,/ˈmeməri/,n.,记忆,2,名词
9,上,Unit3,milestone,/ˈmaɪlstəʊn/,n.,里程碑,3,名词
9,上,Unit3,aim,/eɪm/,n./v.,目标；瞄准,2,名词
9,上,Unit3,ambitious,/æmˈbɪʃəs/,adj.,有雄心的,3,形容词
9,上,Unit3,independent,/ˌɪndɪˈpendənt/,adj.,独立的,3,形容词
9,上,Unit3,creative,/kriˈeɪtɪv/,adj.,有创造力的,2,形容词
9,下,Unit1,grammar,/ˈɡræmə(r)/,n.,语法,2,名词
9,下,Unit1,vocabulary,/vəˈkæbjələri/,n.,词汇,2,名词
9,下,Unit1,pronunciation,/prəˌnʌnsiˈeɪʃn/,n.,发音,2,名词
9,下,Unit1,spelling,/ˈspelɪŋ/,n.,拼写,1,名词
9,下,Unit1,translation,/trænzˈleɪʃn/,n.,翻译,2,名词
9,下,Unit1,passage,/ˈpæsɪdʒ/,n.,文章；段落,2,名词
9,下,Unit1,paragraph,/ˈpærəɡrɑːf/,n.,段落,2,名词
9,下,Unit1,phrase,/freɪz/,n.,短语,2,名词
9,下,Unit1,article,/ˈɑːtɪkl/,n.,文章；冠词,2,名词
